++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Experimental term values of NaCs B1P excited electronic state and
+   table with experimental term values of NaCs the perturbed [B1P, b3P, c3S+]
+   complex levels.
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v', J', v", J":   vibrational and rotational quantum numbers of the excited B1P state level
		  and the absorbing X1S+ level, respectively.

		  In some few cases v' is given approximately because upper state level is strongly perturbed,
		  (v' interval of B1P state vibrational levels is given).

E':		  energy of the excited state level

par:		  for f levels -  0, for e levels - 1

uncert.:          Assessed experimental uncertainty, cm-1

iso:              An integer i. In the final fit only transitions with  
                  i=5,8,10 were used.


		  

N	v'	J'	 E', cm-1      par      uncert. iso
-------------------------------------------------------------
109	3	42	15628.11529	0	0.01	1
110	3	42	15628.11663	1	0.01	1
111	4	42	15676.32014	1	0.01	9
112	1	43	15531.39795	0	0.01	10
113	1	43	15531.3898	1	0.01	10
114	2	43	15582.19213	0	0.01	10
115	3	43	15631.68253	0	0.01	1
116	3	43	15631.68613	1	0.01	1
117	4	43	15679.84405	0	0.01	9
118	4	43	15679.82696	1	0.01	9
119	1	44	15535.16577	0	0.01	10
120	1	44	15535.16436	1	0.01	10
121	2	44	15585.89619	0	0.01	10
122	3	44	15635.3329	0	0.01	1
123	3	44	15635.34548	1	0.01	1
124	4	44	15683.43541	0	0.01	9
125	4	44	15683.42214	1	0.01	9
126	11	44	15986.31101	0	0.01	10
127	1	45	15539.01415	0	0.01	10
128	1	45	15539.01467	1	0.01	10
129	2	45	15589.68623	0	0.01	10
130	3	45	15639.06127	0	0.01	1
131	3	45	15639.07766	1	0.01	1
132	4	45	15687.09494	0	0.01	9
133	4	45	15687.0924	1	0.01	9
134	11	45	15989.37391	0	0.01	10
135	12	45	16027.37425	0	0.01	10
136	1	46	15542.94774	0	0.01	10
137	1	46	15542.9482	1	0.01	10
138	3	46	15642.8921	1	0.01	9
139	4	46	15690.85047	0	0.01	9
140	4	46	15690.83729	1	0.01	9
141	11	46	15992.50752	0	0.01	10
142	1	47	15546.96438	0	0.01	10
143	1	47	15546.96168	1	0.01	10
144	3	47	15646.81071	0	0.01	1
145	3	47	15646.78828	1	0.01	1
146	4	47	15694.6771	0	0.01	9
147	4	47	15694.66804	1	0.01	9
148	11	47	15995.71927	0	0.01	10
149	1	48	15551.06168	0	0.01	10
150	1	48	15551.06509	1	0.01	10
151	3	48	15650.779	0	0.01	1
152	3	48	15650.76192	1	0.01	1
153	4	48	15698.56567	0	0.01	9
154	4	48	15698.56159	1	0.01	9
155	8	48	15872.45461	0	0.01	5
156	8	48	15878.56132	1	0.01	10
157	10	48	15960.16787	1	0.01	10
158	11	48	15999.00805	0	0.01	10
159	1	49	15555.2465	0	0.01	10
160	1	49	15555.24919	1	0.01	10
161	3	49	15654.8323	0	0.01	1
162	3	49	15654.81254	1	0.01	1
163	4	49	15702.55056	0	0.01	9
164	4	49	15702.54644	1	0.01	9
165	11	49	16002.36088	0	0.01	10
166	1	50	15559.51284	0	0.01	10
167	1	50	15559.50793	1	0.01	10
168	3	50	15658.96653	0	0.01	9
169	3	50	15658.95844	1	0.01	9
170	4	50	15706.60763	0	0.01	9
171	4	50	15706.59751	1	0.01	9
172	11	50	16005.81087	0	0.01	10
173	1	51	15563.86307	0	0.01	10
174	1	51	15563.85768	1	0.01	10
175	3	51	15663.17944	0	0.01	9
176	3	51	15663.17001	1	0.01	9
177	11	51	16000.33379	0	0.01	5
178	1	52	15568.29439	0	0.01	10
179	1	52	15568.29265	1	0.01	10
180	3	52	15667.47253	0	0.01	9
181	3	52	15667.46286	1	0.01	9
182	1	53	15572.8085	0	0.01	10
183	1	53	15572.80541	1	0.01	10
184	3	53	15671.8458	0	0.01	9
185	3	53	15671.83493	1	0.01	9
186	10	53	15978.01068	0	0.01	5
187	1	54	15577.40482	0	0.01	10
188	1	54	15577.40446	1	0.01	10
189	2	54	15627.52532	0	0.01	10
190	2	54	15627.52232	1	0.01	10
191	3	54	15676.29316	0	0.01	9
192	3	54	15676.2826	1	0.01	9
193	8	54	15901.24784	1	0.01	10
194	1	55	15582.08392	0	0.01	10
195	1	55	15582.08193	1	0.01	10
196	2	55	15632.12935	0	0.01	10
197	2	55	15632.12611	1	0.01	10
198	3	55	15680.82223	0	0.01	9
199	3	55	15680.81924	1	0.01	9
200	4	55	15727.85922	1	0.01	9
201	6	55	15819.62329	0	0.01	9
202	12	55	16061.30472	0	0.01	10
203	1	56	15586.84413	0	0.01	10
204	1	56	15586.84257	1	0.01	10
205	2	56	15636.82002	0	0.01	10
206	2	56	15636.81204	1	0.01	10
207	3	56	15685.43117	0	0.01	9
208	3	56	15685.41759	1	0.01	9
209	13	56	16100.35691	0	0.01	10
210	1	57	15591.68715	0	0.01	10
211	1	57	15591.68532	1	0.01	10
212	2	57	15641.59087	0	0.01	10
213	2	57	15641.58684	1	0.01	10
214	3	57	15690.10398	0	0.01	9
215	4	57	15738.11884	0	0.01	9
216	0	58	15545.41271	0	0.01	10
217	1	58	15596.61061	0	0.01	10
218	1	58	15596.61021	1	0.01	10
219	2	58	15646.43756	0	0.01	10
220	2	58	15646.43487	1	0.01	10
221	3	58	15694.83136	0	0.01	9
222	4	58	15742.57462	0	0.01	9
223	5	58	15788.31087	0	0.01	9
224	0	59	15550.48551	0	0.01	10
225	1	59	15601.61581	1	0.01	10
226	2	59	15651.36559	0	0.01	10
227	2	59	15651.3634	1	0.01	10
228	4	59	15747.22483	0	0.01	1
229	4	59	15747.28849	1	0.01	1
230	5	59	15792.95828	0	0.01	9
231	13	59	16112.81602	1	0.01	10
232	23	59	16408.41273	0	0.01	10
233	0	60	15555.64777	0	0.01	10
234	1	60	15606.70694	0	0.01	10
235	1	60	15606.70209	1	0.01	10
236	2	60	15656.37347	0	0.01	10
237	2	60	15656.37191	1	0.01	10
238	4	60	15752.00675	0	0.01	1
239	4	60	15752.04878	1	0.01	1
240	5	60	15797.69168	0	0.01	1
241	5	60	15797.71102	1	0.01	1
242	8	60	15926.83534	0	0.01	10
243	12	60	16081.05973	1	0.01	10
244	0	61	15560.89382	0	0.01	10
245	0	61	15560.90099	1	0.01	10
246	1	61	15611.8747	0	0.01	10
247	1	61	15611.87234	1	0.01	10
248	2	61	15661.4625	0	0.01	10
249	2	61	15661.46105	1	0.01	10
250	4	61	15756.88423	0	0.01	1
251	4	61	15756.91934	1	0.01	1
252	5	61	15802.50618	0	0.01	1
253	5	61	15802.52884	1	0.01	1
254	8	61	15931.37896	0	0.01	10
255	10	61	16006.56236	0	0.01	5
256	10	61	16010.92609	1	0.01	10
257	21	61	16364.76731	0	0.01	10
258	24	61	16438.05692	1	0.01	10
259	0	62	15566.21654	0	0.01	10
260	0	62	15566.21871	1	0.01	10
261	1	62	15617.12137	0	0.01	10
262	1	62	15617.12061	1	0.01	10
263	2	62	15666.62321	0	0.01	9
264	2	62	15666.6235	1	0.01	9
265	4	62	15761.86358	0	0.01	1
