++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Transitions from the X1Sigma+ state of NaCs to the B1P and the perturbed [B1P, b3P, c3S+]
+   complex levels, induced by a dye laser (DCM dye) in a single-mode regime.
+   
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v', J', v", J":   vibrational and rotational quantum numbers of the excited B1P state level
		  and the absorbing X1S+ level, respectively.

		  In some few cases v' is given approximately because upper state level is strongly perturbed,
		  (v' interval of B1P state vibrational levels is given).

		  

Laser:  dye laser frequency in cm-1.
m:	with marker 3 show transitions  to the perturbed [B1P, b3P, c3S+] complex levels.
*       with marker * show very weakly transitions


v'	J'	v"	J"	Laser		m
_________________________________________________
5-6	19	0	19	15612.89	3
9	77	0	77	15658.55	3
13	59	2	60	15658.55	
9	75	0	74	15673.33	
9	30	1	29	15673.33	3
10	86	0	85	15673.33	3
13	56	2	56	15673.33	
14	18	3	18	15673.33	
19	81	3	81	15673.33	
7	31	0	31	15674.28	3
8	51	0	52	15674.28	3
13	113	0	112	15674.28	
8	53	0	53	15674.83	3
10	83	0	83	15674.83	
16	117	0	118	15674.83	
23	59	5	59	15674.83	
7	28	0	27	15680.93	
8	48	0	48	15687.38	3
11-12	67	1	67	15687.66	3
9-10	73	0	73	15687.66	3
7	16	0	16	15687.87	
8	48	0	49	15687.87	
15	119	0	118	15687.87	
15	115	0	116	15687.87	
7	15	0	15	15688.50	
8	50	0	49	15688.50	3
13	103	0	103	15688.50	
22	133	0	133	15688.50	
8	45	0	46	15688.85	3
10	40	1	41	15688.85	
10	73	0	73	15704.65	3
11-12	60	1	61	15704.65	3
11	76	0	76	15735.47	
8	8	0	8	15735.63	3
10	64	0	64	15735.63	
10	61	0	61	15743.53	3
10	59	0	58	15743.83	3
12	38	1	38	15766.74	3
10	48	0	48	15767.04	3
9	21	0	22	15767.52	3
9	19	0	18	15773.98	3
10	46	0	47	15773.98	3
9	16	0	16	15774.04	3
12	75	0	75	15774.04	3
12	41	1	40	15774.04	
18	111	0	111	15774.04	
10	47	0	46	15774.90	3
12	31	1	32	15774.90	3
14	23	2	23	15774.90	3
11	58	0	58	15777.73	3
12	39	1	38	15777.73	
10	43	0	42	15783.30	3
10	56	0	56	15783.30	3
10	36	0	37	15787.21	3
14	6	2	5	15787.21	
10	40	0	39	15788.93	3
10	35	0	36	15788.96	3
9	11	0	10	15789.04	3
12	73	0	72	15789.04	3
10	34	0	35	15790.68	3
10	39	0	38	15790.68	3
11	57	0	57	15792.08	3
10	38	0	37	15792.40	3
11	51	0	51	15798.00	3
12	12	1	12	15798.00	3
12	68	0	68	15798.00	
14-15	98	0	98	15798.00	
10	31	0	30	15802.77	3
13	74	0	75	15802.77	
11	48	0	48	15805.51	3
12	65	0	65	15805.55	3
12	61	0	61	15805.55	3
10	26	0	26	15805.68	3
10	28	0	27	15806.44	3
12-13	36	1	36	15807.23	3
10	27	0	26	15807.58	3
21	61	3	61	15807.58	
11	46	0	46	15810.28	3
13	72	0	72	15813.69	3
14	20	2	20	15813.69	3
11	48	0	48	15813.93	3
12	60	0	61	15813.93	
14	22	2	21	15813.93	3
11	47	0	47	15816.14	
13	33	1	32	15816.14	3
11	41	0	41	15821.10	3
11	34	0	35	15829.72	3
12	53	0	53	15829.78	3
11	36	0	36	15830.44	3
11-12	55	0	54	15830.44	3
10-11	32	0	32	15836.94	3
11	31	0	31	15838.42	3
16	71	1	71	15838.42	
11	26	0	26	15845.11	3
14-15	49	1	49	15848.54	3
10-11	22	0	22	15849.57	3
11	21	0	21	15850.58	3
11-12	36	0	35	15872.36	3
14-15	38	1	38	15873.86	3
24	61	3	62	15873.86	
15	37	1	37	15875.86	3
21	39	3	38	15875.86	
21	37	3	37	15875.86	
14-15	36	1	36	15877.79	3
14-15	35	1	35	15879.69	3
25	117	0	116	15881.83	
14-15	36	1	35	15881.83	3
					
					
					
					
					
					
					
					
					
