+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Table with differences between experimental and calculated energies for fited levels
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v',J':		  vibrational and rotational quantum numbers of the excited B1P state level 

Ecalc, Diff 	experimental energy, calculated energy and 
			differences between experimental and calculated 
			energies of the excited B1P state level

par:	  	for f levels -  0, for e levels - 1


iso:            An integer i. In the final fit only transitions with  
                i=5,8,10 were used.

		  


v'	J'	Ecalc		Diff		par	iso
1	91	15803.65211	-0.02107	1	10
1	99	15866.31085	0.00409		1	10
1	100	15874.4676	0.00369		1	10
1	101	15882.69537	0.00267		1	10
1	102	15890.99381	0.00299		1	10
1	103	15899.36258	0.00349		1	10
1	104	15907.80132	0.00218		1	10
1	105	15916.3097	0.00623		1	10
1	106	15924.88735	0.00635		1	10
2	11	15507.57208	0.03855		0	9
2	32	15546.84405	0.00727		0	10
2	33	15549.64129	0.00464		0	10
2	34	15552.52219	0.00394		0	10
2	35	15555.48665	0.00428		0	10
2	36	15558.53456	0.00635		0	10
2	37	15561.66582	0.00372		0	10
2	38	15564.88033	0.00677		0	10
2	39	15568.17797	3.80E-04	0	10
2	40	15571.55862	0.00473		0	10
2	41	15575.02216	-0.00519	0	10
2	42	15578.56848	-0.00151	0	10
2	43	15582.19746	-0.00533	0	10
2	44	15585.90895	-0.01276	0	10
2	45	15589.70284	-0.01661	0	10
2	54	15627.5323	-0.00698	0	10
2	55	15632.14221	-0.01286	0	10
2	56	15636.83286	-0.01284	0	10
2	57	15641.60408	-0.01321	0	10
2	58	15646.45569	-0.01813	0	10
2	59	15651.38753	-0.02194	0	10
2	60	15656.39941	-0.02594	0	10
2	61	15661.49114	-0.02864	0	10
2	62	15666.66254	-0.03933	0	9
2	63	15671.91341	-0.05978	0	9
2	64	15677.24358	-0.12401	0	9
2	69	15705.07659	0.03433		0	9
2	70	15710.87818	0.0236		0	10
2	71	15716.75758	0.01933		0	10
2	72	15722.71459	0.02155		0	10
2	73	15728.74896	0.01605		0	10
2	74	15734.86048	0.01439		0	10
2	75	15741.04891	0.01303		0	10
2	76	15747.314	0.0107		0	10
2	77	15753.65551	0.00922		0	10
2	78	15760.0732	0.00684		0	10
2	79	15766.56682	0.00488		0	10
2	80	15773.13611	0.00584		0	10
2	81	15779.78081	0.0062		0	10
2	82	15786.50066	0.00157		0	10
2	83	15793.29539	0.0044		0	10
2	84	15800.16474	-0.00144	0	10
2	85	15807.10842	-0.00289	0	10
2	86	15814.12616	-0.0093		0	10
2	87	15821.21767	0.00448		0	10
2	88	15828.38266	0.00275		0	10
2	89	15835.62084	4.90E-04	0	10
2	90	15842.93192	-0.00198	0	10
2	91	15850.31559	-0.01182	0	10
2	96	15888.31195	0.01681		0	10
2	97	15896.12459	0.00888		0	10
2	98	15904.00758	0.00565		0	10
2	99	15911.96058	0.00437		0	10
2	100	15919.98326	0.01189		0	10
2	101	15928.07527	0.00168		0	10
2	104	15952.76363	-0.00274	0	10
2	105	15961.12934	-0.00213	0	10
2	106	15969.56254	-0.00326	0	10
2	107	15978.06288	-0.00426	0	10
2	108	15986.62995	-0.00363	0	10
2	109	15995.26337	-0.00474	0	10
2	110	16003.96276	0.00682		0	10
2	111	16012.72769	-0.00161	0	10
2	112	16021.55778	-0.00291	0	10
2	113	16030.4526	-0.00233	0	10
2	114	16039.41175	-0.0035		0	10
2	115	16048.43479	-0.00282	0	10
2	116	16057.52129	-0.00394	0	10
2	117	16066.67083	-0.00719	0	10
2	118	16075.88295	0.00718		0	10
2	119	16085.15722	0.00364		0	10
2	31	15544.13004	0.00962		1	10
2	32	15546.84349	0.00672		1	10
2	33	15549.6407	0.00386		1	10
2	34	15552.52156	0.00854		1	10
2	35	15555.48598	0.00237		1	10
2	36	15558.53385	0.0052		1	10
2	37	15561.66508	0.00181		1	10
2	38	15564.87954	0.00339		1	10
2	39	15568.17714	-0.00271	1	10
2	40	15571.55775	-0.00616	1	10
2	41	15575.02125	-0.00164	1	10
2	42	15578.56753	-0.00425	1	10
2	54	15627.53073	-0.00841	1	10
2	55	15632.14058	-0.01447	1	10
2	56	15636.83117	-0.01913	1	10
2	57	15641.60233	-0.01549	1	10
2	58	15646.45388	-0.01901	1	10
2	59	15651.38565	-0.02225	1	10
2	60	15656.39747	-0.02556	1	10
2	61	15661.48913	-0.02808	1	10
2	62	15666.66047	-0.03697	1	9
2	63	15671.91128	-0.05198	1	9
2	64	15677.24137	-0.08443	1	9
2	65	15682.65055	-0.16782	1	9
2	75	15741.04589	0.01174		1	10
2	76	15747.31089	0.01307		1	10
2	77	15753.65233	0.01086		1	10
2	78	15760.06994	0.00433		1	10
2	79	15766.56347	0.00617		1	10
2	80	15773.13267	0.00464		1	10
2	81	15779.77729	0.00379		1	10
2	82	15786.49705	0.0051		1	10
2	83	15793.2917	0.00115		1	10
2	84	15800.16096	3.20E-04	1	10
2	85	15807.10455	5.00E-04	1	10
2	86	15814.12219	-0.00633	1	10
2	87	15821.21361	-5.30E-04	1	10
2	88	15828.37851	-0.00729	1	10
2	89	15835.6166	-0.00553	1	10
2	97	15896.11955	0.02288		1	10
2	98	15904.00244	0.01137		1	10
2	99	15911.95534	0.00466		1	10
2	100	15919.97791	6.10E-04	1	10
2	101	15928.06981	-0.03063	1	10
2	102	15936.23066	0.01426		1	10
2	109	15995.25702	-0.00326	1	10
2	110	16003.95628	-0.00323	1	10
2	111	16012.7211	-0.0026		1	10
2	112	16021.55107	-0.00367	1	10
2	113	16030.44578	-0.00404	1	10
2	114	16039.4048	-0.00592	1	10
2	115	16048.42772	-0.00398	1	10
2	116	16057.5141	-0.01062	1	10
3	26	15582.11034	0.00632		0	10
3	27	15584.36926	-7.70E-04	0	10
3	28	15586.71108	-0.00997	0	10
3	29	15589.13571	-0.00528	0	10
3	30	15591.64308	-0.00461	0	10
3	31	15594.23309	-0.00684	0	10
3	32	15596.90564	-0.01599	0	10
3	33	15599.66065	-0.00618	0	10
3	34	15602.49802	-0.02118	0	10
3	35	15605.41763	-0.01782	0	10
3	36	15608.4194	-0.01883	0	10
3	37	15611.5032	-0.01867	0	10
3	38	15614.66892	-0.02704	0	10
3	39	15617.91646	-0.02488	0	10
3	40	15621.2457	-0.03329	0	1
3	41	15624.6565	-0.03574	0	1
3	42	15628.14876	-0.03347	0	1
3	43	15631.72233	-0.0398		0	1
3	44	15635.3771	-0.0442		0	1
3	45	15639.11292	-0.05165	0	1
3	47	15646.82718	-0.01647	0	1
3	48	15650.80534	-0.02634	0	1
3	49	15654.86399	-0.03169	0	1
3	50	15659.00297	-0.03644	0	9
3	51	15663.22214	-0.0427		0	9
3	52	15667.52133	-0.0488		0	9
3	53	15671.9004	-0.0546		0	9
3	54	15676.35917	-0.06601	0	9
3	55	15680.89747	-0.07524	0	9
3	56	15685.51514	-0.08397	0	9
3	57	15690.21201	-0.10803	0	9
3	58	15694.98789	-0.15653	0	9
3	65	15730.61586	0.05731		0	9
3	69	15752.68341	0.0375		0	9
3	70	15758.39239	0.01972		0	10
3	71	15764.17774	0.01362		0	10
3	72	15770.03926	0.0132		0	10
3	73	15775.97671	0.00762		0	10
3	74	15781.98985	0.01172		0	10
3	75	15788.07845	0.01437		0	10
3	76	15794.24226	0.00995		0	10
3	77	15800.48104	0.00895		0	10
3	78	15806.79454	0.00182		0	10
3	79	15813.18249	0.00171		0	10
3	80	15819.64464	0.00559		0	10
3	81	15826.18073	0.00271		0	10
3	82	15832.79049	0.00271		0	10
3	110	16046.54331	0.0154		0	10
3	111	16055.15199	0.01124		0	10
3	112	16063.82402	-1.10E-04	0	10
3	113	16072.55897	0.00182		0	10
3	114	16081.3564	-0.00278	0	10
3	115	16090.21586	-0.0026		0	10
