Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  3.472285  13128.077  10531.891  10640.259  10749.112    108.368    108.853    123.726
  3.474424  13115.466  10527.489  10635.752  10744.540    108.263    108.788    123.616
  3.476561  13102.915  10523.131  10631.289  10740.012    108.157    108.724    123.506
  3.478694  13090.426  10518.816  10626.869  10735.528    108.053    108.659    123.397
  3.480825  13077.997  10514.544  10622.492  10731.086    107.948    108.595    123.287
  3.482953  13065.627  10510.314  10618.157  10726.688    107.843    108.531    123.178
  3.485077  13053.318  10506.127  10613.866  10722.332    107.739    108.467    123.069
  3.487199  13041.068  10501.981  10609.616  10718.019    107.635    108.403    122.960
  3.489318  13028.876  10497.877  10605.409  10713.748    107.532    108.340    122.851
  3.491435  13016.743  10493.815  10601.243  10709.519    107.428    108.276    122.743
  3.493548  13004.669  10489.793  10597.118  10705.331    107.325    108.213    122.635
  3.495659  12992.652  10485.813  10593.035  10701.185    107.222    108.150    122.527
  3.497767  12980.692  10481.873  10588.992  10697.080    107.120    108.088    122.419
  3.499872  12968.790  10477.973  10584.990  10693.015    107.017    108.025    122.312
  3.501974  12956.944  10474.113  10581.029  10688.991    106.915    107.963    122.204
  3.504074  12945.155  10470.293  10577.107  10685.008    106.814    107.901    122.097
  3.506171  12933.422  10466.513  10573.225  10681.064    106.712    107.839    121.990
  3.508265  12921.744  10462.772  10569.383  10677.160    106.611    107.777    121.884
  3.510356  12910.122  10459.070  10565.580  10673.295    106.510    107.715    121.777
  3.512445  12898.555  10455.407  10561.816  10669.470    106.409    107.654    121.671
  3.514531  12887.043  10451.782  10558.090  10665.683    106.308    107.593    121.565
  3.516615  12875.585  10448.195  10554.404  10661.936    106.208    107.532    121.459
  3.518696  12864.180  10444.647  10550.755  10658.226    106.108    107.471    121.353
  3.520774  12852.830  10441.136  10547.145  10654.555    106.008    107.411    121.248
  3.522850  12841.533  10437.663  10543.572  10650.922    105.909    107.350    121.143
  3.524923  12830.289  10434.227  10540.037  10647.327    105.810    107.290    121.038
  3.526993  12819.098  10430.828  10536.539  10643.769    105.711    107.230    120.933
  3.529061  12807.959  10427.466  10533.078  10640.248    105.612    107.170    120.829
  3.531126  12796.872  10424.141  10529.654  10636.765    105.513    107.111    120.724
  3.533189  12785.837  10420.852  10526.267  10633.318    105.415    107.051    120.620
  3.535249  12774.854  10417.599  10522.916  10629.908    105.317    106.992    120.516
  3.537307  12763.922  10414.382  10519.601  10626.534    105.219    106.933    120.413
  3.539362  12753.040  10411.201  10516.323  10623.196    105.122    106.874    120.309
  3.541415  12742.209  10408.055  10513.079  10619.895    105.024    106.815    120.206
  3.543466  12731.429  10404.944  10509.872  10616.628    104.927    106.757    120.103
  3.545514  12720.698  10401.869  10506.699  10613.398    104.831    106.698    120.000
  3.547559  12710.018  10398.828  10503.562  10610.202    104.734    106.640    119.897
  3.549602  12699.386  10395.822  10500.460  10607.042    104.638    106.582    119.795
  3.551643  12688.804  10392.850  10497.392  10603.916    104.542    106.524    119.693
  3.553681  12678.271  10389.912  10494.358  10600.825    104.446    106.467    119.591
  3.555717  12667.786  10387.009  10491.359  10597.768    104.350    106.409    119.489
  3.557750  12657.349  10384.139  10488.394  10594.745    104.255    106.352    119.388
  3.559781  12646.960  10381.302  10485.462  10591.757    104.160    106.295    119.286
  3.561810  12636.620  10378.499  10482.564  10588.802    104.065    106.238    119.185
  3.563836  12626.326  10375.729  10479.699  10585.880    103.970    106.181    119.084
  3.565860  12616.080  10372.992  10476.868  10582.992    103.876    106.124    118.984
  3.567882  12605.881  10370.288  10474.070  10580.138    103.781    106.068    118.883
  3.569902  12595.728  10367.616  10471.304  10577.316    103.687    106.012    118.783
  3.571919  12585.622  10364.977  10468.571  10574.527    103.594    105.956    118.683
  3.573934  12575.561  10362.370  10465.870  10571.770    103.500    105.900    118.583
  3.575946  12565.547  10359.795  10463.201  10569.046    103.407    105.844    118.483
  3.577957  12555.578  10357.251  10460.565  10566.353    103.314    105.789    118.384
  3.579965  12545.655  10354.739  10457.960  10563.693    103.221    105.733    118.285
  3.581971  12535.777  10352.259  10455.387  10561.065    103.128    105.678    118.186
  3.583974  12525.943  10349.809  10452.845  10558.468    103.036    105.623    118.087
  3.585976  12516.154  10347.391  10450.335  10555.903    102.944    105.568    117.988
  3.587975  12506.410  10345.003  10447.855  10553.369    102.852    105.514    117.890
  3.589972  12496.709  10342.647  10445.407  10550.866    102.760    105.459    117.792
  3.591967  12487.053  10340.320  10442.989  10548.394    102.669    105.405    117.694
  3.593960  12477.439  10338.024  10440.601  10545.952    102.577    105.351    117.596
  3.595951  12467.870  10335.758  10438.244  10543.541    102.486    105.297    117.499
  3.597939  12458.343  10333.522  10435.918  10541.160    102.396    105.243    117.402
  3.599926  12448.859  10331.316  10433.621  10538.810    102.305    105.189    117.305
  3.601910  12439.418  10329.139  10431.354  10536.489    102.215    105.136    117.208
  3.603892  12430.020  10326.992  10429.116  10534.198    102.124    105.082    117.111
  3.605872  12420.663  10324.874  10426.908  10531.937    102.034    105.029    117.015
  3.607850  12411.349  10322.785  10424.730  10529.706    101.945    104.976    116.919
  3.609826  12402.076  10320.725  10422.580  10527.503    101.855    104.923    116.823
  3.611800  12392.845  10318.694  10420.459  10525.330    101.766    104.870    116.727
  3.613772  12383.655  10316.691  10418.368  10523.186    101.677    104.818    116.631
  3.615742  12374.506  10314.717  10416.305  10521.070    101.588    104.766    116.536
  3.617710  12365.398  10312.771  10414.270  10518.983    101.499    104.713    116.441
  3.619675  12356.330  10310.853  10412.263  10516.925    101.411    104.661    116.346
  3.621639  12347.303  10308.963  10410.285  10514.895    101.323    104.609    116.251
  3.623601  12338.316  10307.100  10408.335  10512.893    101.235    104.558    116.157
  3.625561  12329.369  10305.266  10406.413  10510.919    101.147    104.506    116.062
  3.627519  12320.462  10303.459  10404.518  10508.973    101.059    104.455    115.968
  3.629475  12311.594  10301.679  10402.651  10507.054    100.972    104.404    115.874
  3.631428  12302.766  10299.926  10400.811  10505.163    100.885    104.353    115.781
  3.633380  12293.976  10298.201  10398.998  10503.300    100.798    104.302    115.687
  3.635331  12285.226  10296.502  10397.213  10501.464    100.711    104.251    115.594
  3.637279  12276.514  10294.830  10395.454  10499.654    100.624    104.200    115.501
  3.639225  12267.841  10293.184  10393.722  10497.872    100.538    104.150    115.408
  3.641169  12259.206  10291.565  10392.017  10496.117    100.452    104.099    115.316
  3.643112  12250.609  10289.972  10390.338  10494.388    100.366    104.049    115.223
  3.645052  12242.050  10288.406  10388.686  10492.685    100.280    103.999    115.131
  3.646991  12233.529  10286.865  10387.060  10491.009    100.195    103.950    115.039
  3.648928  12225.045  10285.350  10385.459  10489.359    100.109    103.900    114.947
  3.650863  12216.599  10283.861  10383.885  10487.735    100.024    103.850    114.856
  3.652796  12208.190  10282.397  10382.337  10486.137     99.939    103.801    114.764
  3.654727  12199.817  10280.959  10380.814  10484.565     99.855    103.752    114.673
  3.656657  12191.482  10279.546  10379.316  10483.019     99.770    103.703    114.582
  3.658584  12183.183  10278.158  10377.844  10481.498     99.686    103.654    114.492
  3.660510  12174.920  10276.795  10376.397  10480.002     99.602    103.605    114.401
  3.662434  12166.693  10275.457  10374.975  10478.531     99.518    103.556    114.311
  3.664357  12158.503  10274.144  10373.578  10477.086     99.434    103.508    114.221
  3.666277  12150.348  10272.855  10372.206  10475.666     99.351    103.460    114.131
  3.668196  12142.229  10271.591  10370.858  10474.270     99.267    103.411    114.041
  3.670113  12134.145  10270.351  10369.535  10472.899     99.184    103.363    113.952
  3.672028  12126.096  10269.136  10368.237  10471.552     99.101    103.316    113.862
  3.673942  12118.083  10267.944  10366.962  10470.230     99.019    103.268    113.773
  3.675854  12110.104  10266.776  10365.712  10468.933     98.936    103.220    113.685
  3.677764  12102.161  10265.632  10364.486  10467.659     98.854    103.173    113.596
  3.679672  12094.251  10264.512  10363.284  10466.410     98.772    103.126    113.508
  3.681579  12086.376  10263.416  10362.105  10465.184     98.690    103.079    113.419
  3.683484  12078.536  10262.343  10360.950  10463.982     98.608    103.032    113.331
  3.685387  12070.729  10261.293  10359.819  10462.804     98.526    102.985    113.243
  3.687289  12062.956  10260.266  10358.711  10461.649     98.445    102.938    113.156
  3.689189  12055.217  10259.263  10357.626  10460.518     98.364    102.892    113.068
  3.691087  12047.511  10258.282  10356.565  10459.410     98.283    102.845    112.981
  3.692984  12039.839  10257.324  10355.526  10458.325     98.202    102.799    112.894
  3.694879  12032.200  10256.389  10354.511  10457.263     98.121    102.753    112.808
  3.696772  12024.594  10255.477  10353.518  10456.225     98.041    102.707    112.721
  3.698664  12017.021  10254.587  10352.548  10455.209     97.961    102.661    112.635
  3.700554  12009.480  10253.719  10351.600  10454.215     97.881    102.615    112.548
  3.702443  12001.972  10252.874  10350.675  10453.245     97.801    102.570    112.462
  3.704330  11994.496  10252.051  10349.772  10452.296     97.721    102.525    112.377
  3.706215  11987.053  10251.249  10348.891  10451.371     97.642    102.479    112.291
  3.708099  11979.642  10250.470  10348.033  10450.467     97.562    102.434    112.206
  3.709981  11972.262  10249.713  10347.196  10449.585     97.483    102.389    112.121
  3.711862  11964.915  10248.977  10346.381  10448.726     97.404    102.345    112.036
  3.713741  11957.599  10248.263  10345.588  10447.888     97.326    102.300    111.951
  3.715618  11950.314  10247.570  10344.817  10447.072     97.247    102.255    111.866
  3.717494  11943.060  10246.898  10344.067  10446.278     97.169    102.211    111.782
  3.719369  11935.838  10246.248  10343.339  10445.506     97.091    102.167    111.698
  3.721242  11928.647  10245.619  10342.632  10444.754     97.013    102.123    111.614
  3.723113  11921.487  10245.011  10341.946  10444.025     96.935    102.079    111.530
  3.724983  11914.357  10244.424  10341.281  10443.316     96.857    102.035    111.447
  3.726852  11907.258  10243.858  10340.638  10442.629     96.780    101.991    111.364
  3.728719  11900.189  10243.312  10340.015  10441.962     96.703    101.948    111.280
  3.730584  11893.150  10242.787  10339.413  10441.317     96.625    101.904    111.197
  3.732448  11886.142  10242.283  10338.831  10440.692     96.549    101.861    111.115
  3.734311  11879.163  10241.799  10338.271  10440.089     96.472    101.818    111.032
  3.736172  11872.215  10241.335  10337.730  10439.505     96.395    101.775    110.950
  3.738031  11865.296  10240.892  10337.211  10438.943     96.319    101.732    110.868
  3.739889  11858.406  10240.468  10336.711  10438.400     96.243    101.689    110.786
  3.741746  11851.546  10240.065  10336.232  10437.878     96.167    101.647    110.704
  3.743602  11844.715  10239.682  10335.772  10437.377     96.091    101.604    110.623
  3.745455  11837.914  10239.318  10335.333  10436.895     96.015    101.562    110.541
  3.747308  11831.141  10238.974  10334.914  10436.433     95.940    101.520    110.460
  3.749159  11824.397  10238.650  10334.514  10435.992     95.864    101.478    110.379
  3.751009  11817.682  10238.345  10334.134  10435.570     95.789    101.436    110.299
  3.752857  11810.995  10238.059  10333.774  10435.168     95.714    101.394    110.218
  3.754704  11804.337  10237.793  10333.433  10434.786     95.640    101.352    110.138
  3.756549  11797.707  10237.547  10333.112  10434.423     95.565    101.311    110.058
  3.758394  11791.106  10237.319  10332.810  10434.079     95.491    101.269    109.978
  3.760236  11784.532  10237.110  10332.527  10433.755     95.416    101.228    109.898
  3.762078  11777.987  10236.921  10332.263  10433.450     95.342    101.187    109.818
  3.763918  11771.469  10236.750  10332.019  10433.165     95.268    101.146    109.739
  3.765757  11764.979  10236.598  10331.793  10432.898     95.195    101.105    109.660
  3.767594  11758.516  10236.465  10331.586  10432.651     95.121    101.065    109.581
  3.769430  11752.081  10236.350  10331.398  10432.422     95.048    101.024    109.502
  3.771265  11745.673  10236.254  10331.229  10432.212     94.975    100.984    109.424
  3.773098  11739.292  10236.176  10331.078  10432.021     94.902    100.943    109.345
  3.774931  11732.938  10236.117  10330.946  10431.849     94.829    100.903    109.267
  3.776762  11726.611  10236.076  10330.832  10431.695     94.756    100.863    109.189
  3.778591  11720.311  10236.053  10330.736  10431.560     94.684    100.823    109.112
  3.780419  11714.038  10236.048  10330.659  10431.443     94.611    100.783    109.034
  3.782246  11707.791  10236.061  10330.600  10431.344     94.539    100.744    108.957
  3.784072  11701.570  10236.092  10330.559  10431.263     94.467    100.704    108.879
  3.785897  11695.376  10236.141  10330.536  10431.201     94.395    100.665    108.802
  3.787720  11689.208  10236.208  10330.531  10431.157     94.323    100.626    108.726
  3.789542  11683.066  10236.292  10330.544  10431.130     94.252    100.586    108.649
  3.791363  11676.950  10236.394  10330.574  10431.122     94.181    100.547    108.573
  3.793182  11670.860  10236.513  10330.623  10431.131     94.109    100.509    108.496
  3.795000  11664.796  10236.650  10330.688  10431.158     94.038    100.470    108.420
  3.796818  11658.757  10236.804  10330.772  10431.203     93.968    100.431    108.345
  3.798633  11652.744  10236.975  10330.872  10431.265     93.897    100.393    108.269
  3.800448  11646.756  10237.164  10330.990  10431.345     93.826    100.354    108.193
  3.802261  11640.793  10237.370  10331.126  10431.442     93.756    100.316    108.118
  3.804074  11634.856  10237.592  10331.278  10431.556     93.686    100.278    108.043
  3.805885  11628.943  10237.832  10331.448  10431.688     93.616    100.240    107.968
  3.807695  11623.056  10238.088  10331.635  10431.837     93.546    100.202    107.894
  3.809503  11617.193  10238.362  10331.838  10432.002     93.476    100.164    107.819
  3.811311  11611.355  10238.652  10332.059  10432.185     93.407    100.127    107.745
  3.813117  11605.542  10238.958  10332.296  10432.385     93.338    100.089    107.671
  3.814922  11599.753  10239.281  10332.550  10432.602     93.268    100.052    107.597
  3.816726  11593.988  10239.621  10332.821  10432.835     93.199    100.015    107.523
  3.818529  11588.248  10239.977  10333.108  10433.085     93.130     99.978    107.450
  3.820331  11582.532  10240.350  10333.411  10433.352     93.062     99.941    107.376
  3.822132  11576.840  10240.738  10333.732  10433.635     92.993     99.904    107.303
  3.823931  11571.172  10241.143  10334.068  10433.935     92.925     99.867    107.230
  3.825730  11565.528  10241.564  10334.421  10434.251     92.857     99.830    107.157
  3.827527  11559.907  10242.001  10334.790  10434.584     92.789     99.794    107.085
  3.829323  11554.310  10242.454  10335.175  10434.933     92.721     99.757    107.012
  3.831118  11548.737  10242.923  10335.576  10435.298     92.653     99.721    106.940
  3.832912  11543.188  10243.408  10335.994  10435.679     92.585     99.685    106.868
  3.834705  11537.661  10243.909  10336.427  10436.076     92.518     99.649    106.796
  3.836497  11532.158  10244.425  10336.876  10436.489     92.451     99.613    106.725
  3.838287  11526.678  10244.957  10337.341  10436.918     92.384     99.578    106.653
  3.840077  11521.221  10245.504  10337.821  10437.363     92.317     99.542    106.582
  3.841866  11515.787  10246.067  10338.317  10437.824     92.250     99.506    106.511
  3.843653  11510.376  10246.646  10338.829  10438.300     92.183     99.471    106.440
  3.845440  11504.987  10247.239  10339.356  10438.792     92.117     99.436    106.369
  3.847225  11499.622  10247.848  10339.899  10439.300     92.051     99.401    106.298
  3.849010  11494.278  10248.473  10340.457  10439.823     91.984     99.366    106.228
  3.850793  11488.958  10249.112  10341.031  10440.361     91.918     99.331    106.158
  3.852575  11483.659  10249.767  10341.619  10440.915     91.853     99.296    106.088
  3.854357  11478.383  10250.436  10342.223  10441.484     91.787     99.261    106.018
  3.856137  11473.130  10251.121  10342.842  10442.069     91.721     99.227    105.948
  3.857916  11467.898  10251.820  10343.476  10442.668     91.656     99.192    105.879
  3.859694  11462.688  10252.534  10344.125  10443.283     91.591     99.158    105.810
  3.861472  11457.500  10253.263  10344.789  10443.913     91.526     99.124    105.741
  3.863248  11452.334  10254.007  10345.468  10444.558     91.461     99.090    105.672
  3.865023  11447.190  10254.765  10346.162  10445.218     91.396     99.056    105.603
  3.866798  11442.067  10255.538  10346.870  10445.892     91.332     99.022    105.535
  3.868571  11436.966  10256.326  10347.593  10446.581     91.267     98.988    105.466
  3.870343  11431.886  10257.128  10348.331  10447.286     91.203     98.955    105.398
  3.872115  11426.828  10257.944  10349.083  10448.004     91.139     98.921    105.330
  3.873885  11421.791  10258.775  10349.850  10448.738     91.075     98.888    105.262
  3.875655  11416.775  10259.620  10350.631  10449.486     91.011     98.855    105.195
  3.877423  11411.780  10260.479  10351.426  10450.248     90.947     98.822    105.127
  3.879191  11406.806  10261.352  10352.236  10451.025     90.884     98.789    105.060
  3.880958  11401.853  10262.240  10353.060  10451.816     90.820     98.756    104.993
  3.882723  11396.921  10263.141  10353.899  10452.622     90.757     98.723    104.926
  3.884488  11392.010  10264.057  10354.751  10453.441     90.694     98.691    104.859
  3.886252  11387.119  10264.986  10355.617  10454.275     90.631     98.658    104.793
  3.888015  11382.250  10265.929  10356.498  10455.124     90.569     98.626    104.726
  3.889777  11377.400  10266.886  10357.392  10455.986     90.506     98.593    104.660
  3.891538  11372.571  10267.857  10358.301  10456.862     90.444     98.561    104.594
  3.893298  11367.762  10268.842  10359.223  10457.752     90.381     98.529    104.528
  3.895058  11362.974  10269.840  10360.159  10458.656     90.319     98.497    104.463
  3.896816  11358.205  10270.852  10361.109  10459.574     90.257     98.465    104.397
  3.898574  11353.457  10271.877  10362.072  10460.506     90.195     98.434    104.332
  3.900331  11348.729  10272.916  10363.049  10461.452     90.134     98.402    104.267
  3.902086  11344.021  10273.968  10364.040  10462.411     90.072     98.371    104.202
  3.903841  11339.332  10275.034  10365.044  10463.384     90.011     98.339    104.137
  3.905596  11334.664  10276.113  10366.062  10464.370     89.949     98.308    104.073
  3.907349  11330.015  10277.205  10367.093  10465.370     89.888     98.277    104.008
  3.909101  11325.385  10278.310  10368.137  10466.383     89.827     98.246    103.944
  3.910853  11320.776  10279.429  10369.195  10467.410     89.767     98.215    103.880
  3.912603  11316.185  10280.560  10370.266  10468.450     89.706     98.184    103.816
  3.914353  11311.614  10281.705  10371.350  10469.504     89.645     98.154    103.752
  3.916102  11307.062  10282.862  10372.447  10470.571     89.585     98.123    103.689
  3.917851  11302.530  10284.033  10373.558  10471.651     89.525     98.093    103.625
  3.919598  11298.017  10285.216  10374.681  10472.744     89.465     98.063    103.562
  3.921345  11293.522  10286.413  10375.818  10473.850     89.405     98.032    103.499
  3.923090  11289.047  10287.622  10376.967  10474.969     89.345     98.002    103.436
  3.924835  11284.591  10288.844  10378.129  10476.101     89.285     97.972    103.374
  3.926579  11280.153  10290.078  10379.304  10477.247     89.226     97.942    103.311
  3.928323  11275.735  10291.325  10380.492  10478.405     89.167     97.913    103.249
  3.930065  11271.335  10292.585  10381.693  10479.576     89.107     97.883    103.187
  3.931807  11266.953  10293.857  10382.906  10480.759     89.048     97.854    103.125
  3.933548  11262.590  10295.142  10384.132  10481.956     88.990     97.824    103.063
  3.935289  11258.246  10296.439  10385.370  10483.165     88.931     97.795    103.001
  3.937028  11253.920  10297.749  10386.621  10484.387     88.872     97.766    102.940
  3.938767  11249.613  10299.071  10387.885  10485.621     88.814     97.737    102.878
  3.940505  11245.323  10300.405  10389.161  10486.868     88.755     97.708    102.817
  3.942242  11241.052  10301.752  10390.449  10488.128     88.697     97.679    102.756
  3.943978  11236.799  10303.110  10391.750  10489.400     88.639     97.650    102.696
  3.945714  11232.564  10304.481  10393.063  10490.684     88.581     97.622    102.635
  3.947449  11228.347  10305.864  10394.388  10491.981     88.524     97.593    102.575
  3.949183  11224.148  10307.259  10395.725  10493.290     88.466     97.565    102.514
  3.950917  11219.967  10308.666  10397.075  10494.611     88.409     97.537    102.454
  3.952649  11215.804  10310.085  10398.437  10495.945     88.351     97.508    102.394
  3.954381  11211.658  10311.516  10399.810  10497.291     88.294     97.480    102.334
  3.956113  11207.530  10312.959  10401.196  10498.649     88.237     97.452    102.275
  3.957843  11203.420  10314.414  10402.594  10500.019     88.180     97.425    102.215
  3.959573  11199.327  10315.880  10404.004  10501.401     88.124     97.397    102.156
  3.961303  11195.251  10317.358  10405.425  10502.795     88.067     97.369    102.097
  3.963031  11191.193  10318.848  10406.859  10504.201     88.011     97.342    102.038
  3.964759  11187.152  10320.350  10408.304  10505.618     87.954     97.314    101.979
  3.966486  11183.129  10321.863  10409.761  10507.048     87.898     97.287    101.921
  3.968212  11179.122  10323.388  10411.230  10508.490     87.842     97.260    101.862
  3.969938  11175.133  10324.924  10412.710  10509.943     87.786     97.233    101.804
  3.971663  11171.161  10326.472  10414.202  10511.408     87.731     97.206    101.746
  3.973388  11167.206  10328.031  10415.706  10512.885     87.675     97.179    101.688
  3.975111  11163.267  10329.601  10417.221  10514.373     87.619     97.153    101.630
  3.976834  11159.346  10331.183  10418.747  10515.873     87.564     97.126    101.573
  3.978557  11155.441  10332.776  10420.285  10517.385     87.509     97.099    101.515
  3.980279  11151.553  10334.381  10421.835  10518.908     87.454     97.073    101.458
  3.982000  11147.682  10335.997  10423.396  10520.442     87.399     97.047    101.401
  3.983720  11143.828  10337.623  10424.968  10521.988     87.344     97.021    101.344
  3.985440  11139.990  10339.262  10426.551  10523.546     87.290     96.995    101.287
  3.987159  11136.168  10340.911  10428.146  10525.115     87.235     96.969    101.231
  3.988878  11132.363  10342.571  10429.752  10526.695     87.181     96.943    101.174
  3.990596  11128.574  10344.242  10431.369  10528.286     87.127     96.917    101.118
  3.992313  11124.802  10345.924  10432.997  10529.889     87.073     96.891    101.062
  3.994030  11121.046  10347.618  10434.636  10531.502     87.019     96.866    101.006
  3.995746  11117.306  10349.322  10436.287  10533.127     86.965     96.841    100.950
  3.997462  11113.582  10351.037  10437.948  10534.763     86.912     96.815    100.894
  3.999177  11109.874  10352.762  10439.620  10536.410     86.858     96.790    100.839
  4.000891  11106.182  10354.499  10441.304  10538.069     86.805     96.765    100.783
  4.002605  11102.506  10356.246  10442.998  10539.738     86.752     96.740    100.728
  4.004318  11098.846  10358.004  10444.703  10541.418     86.698     96.715    100.673
  4.006030  11095.202  10359.773  10446.418  10543.109     86.646     96.691    100.618
  4.007742  11091.574  10361.552  10448.145  10544.811     86.593     96.666    100.564
  4.009454  11087.961  10363.342  10449.882  10546.524     86.540     96.641    100.509
  4.011164  11084.364  10365.143  10451.630  10548.247     86.488     96.617    100.455
  4.012875  11080.783  10366.954  10453.389  10549.981     86.435     96.593    100.401
  4.014584  11077.217  10368.775  10455.158  10551.726     86.383     96.568    100.347
  4.016294  11073.667  10370.607  10456.938  10553.482     86.331     96.544    100.293
  4.018002  11070.132  10372.449  10458.728  10555.249     86.279     96.520    100.239
  4.019710  11066.613  10374.302  10460.529  10557.026     86.227     96.497    100.186
  4.021418  11063.109  10376.165  10462.340  10558.813     86.175     96.473    100.132
  4.023125  11059.620  10378.038  10464.162  10560.611     86.124     96.449    100.079
  4.024831  11056.146  10379.922  10465.994  10562.420     86.072     96.426    100.026
  4.026537  11052.688  10381.816  10467.837  10564.239     86.021     96.402     99.973
  4.028242  11049.245  10383.720  10469.690  10566.069     85.970     96.379     99.920
  4.029947  11045.816  10385.634  10471.553  10567.909     85.919     96.356     99.868
  4.031651  11042.403  10387.558  10473.426  10569.759     85.868     96.332     99.815
  4.033355  11039.005  10389.493  10475.310  10571.620     85.818     96.309     99.763
  4.035058  11035.621  10391.437  10477.204  10573.490     85.767     96.287     99.711
  4.036761  11032.253  10393.391  10479.108  10575.372     85.716     96.264     99.659
  4.038463  11028.899  10395.356  10481.022  10577.263     85.666     96.241     99.607
  4.040165  11025.560  10397.330  10482.946  10579.165     85.616     96.218     99.555
  4.041866  11022.236  10399.315  10484.881  10581.077     85.566     96.196     99.504
  4.043567  11018.926  10401.309  10486.825  10582.998     85.516     96.174     99.452
  4.045267  11015.631  10403.313  10488.779  10584.930     85.466     96.151     99.401
  4.046967  11012.351  10405.327  10490.743  10586.872     85.417     96.129     99.350
  4.048667  11009.085  10407.350  10492.717  10588.825     85.367     96.107     99.299
  4.050365  11005.833  10409.384  10494.701  10590.787     85.318     96.085     99.248
  4.052064  11002.596  10411.427  10496.695  10592.759     85.269     96.063     99.198
  4.053762  10999.373  10413.479  10498.699  10594.741     85.219     96.042     99.147
  4.055459  10996.165  10415.542  10500.712  10596.732     85.171     96.020     99.097
  4.057156  10992.970  10417.614  10502.736  10598.734     85.122     95.999     99.047
  4.058853  10989.790  10419.696  10504.769  10600.746     85.073     95.977     98.997
  4.060549  10986.624  10421.787  10506.811  10602.767     85.024     95.956     98.947
  4.062244  10983.472  10423.887  10508.864  10604.798     84.976     95.935     98.897
  4.063940  10980.334  10425.998  10510.925  10606.839     84.928     95.914     98.848
  4.065634  10977.211  10428.117  10512.997  10608.889     84.880     95.893     98.798
  4.067329  10974.101  10430.246  10515.078  10610.950     84.832     95.872     98.749
  4.069023  10971.005  10432.385  10517.169  10613.019     84.784     95.851     98.700
  4.070716  10967.923  10434.533  10519.269  10615.099     84.736     95.830     98.651
  4.072409  10964.854  10436.690  10521.378  10617.188     84.688     95.810     98.602
  4.074102  10961.800  10438.856  10523.497  10619.286     84.641     95.789     98.554
  4.075794  10958.759  10441.032  10525.626  10621.395     84.594     95.769     98.505
  4.077486  10955.732  10443.217  10527.763  10623.512     84.546     95.749     98.457
  4.079177  10952.718  10445.411  10529.911  10625.639     84.499     95.728     98.409
  4.080868  10949.718  10447.615  10532.067  10627.775     84.452     95.708     98.361
  4.082559  10946.732  10449.827  10534.233  10629.921     84.406     95.688     98.313
  4.084249  10943.759  10452.049  10536.408  10632.076     84.359     95.669     98.265
  4.085939  10940.799  10454.280  10538.592  10634.241     84.312     95.649     98.218
  4.087628  10937.853  10456.519  10540.785  10636.415     84.266     95.629     98.170
  4.089317  10934.921  10458.768  10542.988  10638.598     84.220     95.610     98.123
  4.091006  10932.001  10461.026  10545.200  10640.790     84.174     95.590     98.076
  4.092694  10929.095  10463.293  10547.421  10642.992     84.128     95.571     98.029
  4.094382  10926.202  10465.569  10549.651  10645.202     84.082     95.552     97.982
  4.096070  10923.322  10467.854  10551.890  10647.422     84.036     95.533     97.935
  4.097757  10920.456  10470.147  10554.138  10649.651     83.990     95.514     97.889
  4.099444  10917.602  10472.450  10556.395  10651.890     83.945     95.495     97.842
  4.101130  10914.762  10474.761  10558.661  10654.137     83.900     95.476     97.796
  4.102816  10911.934  10477.081  10560.935  10656.393     83.854     95.458     97.750
  4.104502  10909.120  10479.410  10563.219  10658.658     83.809     95.439     97.704
  4.106188  10906.318  10481.748  10565.512  10660.933     83.764     95.421     97.658
  4.107873  10903.529  10484.094  10567.814  10663.216     83.720     95.402     97.613
  4.109558  10900.753  10486.449  10570.124  10665.508     83.675     95.384     97.567
  4.111242  10897.990  10488.813  10572.443  10667.809     83.630     95.366     97.522
  4.112926  10895.240  10491.185  10574.771  10670.119     83.586     95.348     97.476
  4.114610  10892.502  10493.566  10577.108  10672.438     83.542     95.330     97.431
  4.116293  10889.777  10495.956  10579.453  10674.765     83.498     95.312     97.386
  4.117976  10887.065  10498.354  10581.808  10677.102     83.454     95.294     97.342
  4.119659  10884.365  10500.761  10584.170  10679.447     83.410     95.277     97.297
  4.121342  10881.678  10503.176  10586.542  10681.801     83.366     95.259     97.252
  4.123024  10879.003  10505.600  10588.922  10684.164     83.322     95.242     97.208
  4.124706  10876.341  10508.032  10591.311  10686.535     83.279     95.224     97.164
  4.126387  10873.691  10510.472  10593.708  10688.915     83.236     95.207     97.120
  4.128069  10871.054  10512.921  10596.114  10691.304     83.192     95.190     97.076
  4.129750  10868.429  10515.379  10598.528  10693.701     83.149     95.173     97.032
  4.131430  10865.816  10517.845  10600.951  10696.107     83.106     95.156     96.988
  4.133111  10863.215  10520.319  10603.382  10698.522     83.063     95.139     96.945
  4.134791  10860.627  10522.801  10605.822  10700.945     83.021     95.123     96.902
