Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  2.747935  20999.937  15258.523  15407.425  15543.232    148.903    135.807    155.489
  2.752229  20922.013  15198.442  15347.100  15482.732    148.657    135.633    155.373
  2.756499  20845.080  15139.418  15287.831  15423.291    148.413    135.460    155.257
  2.760746  20769.116  15081.420  15229.589  15364.877    148.170    135.287    155.141
  2.764970  20694.101  15024.418  15172.346  15307.462    147.927    135.116    155.024
  2.769171  20620.016  14968.387  15116.072  15251.018    147.686    134.945    154.906
  2.773350  20546.842  14913.297  15060.743  15195.518    147.445    134.776    154.789
  2.777507  20474.561  14859.125  15006.331  15140.937    147.206    134.607    154.671
  2.781643  20403.155  14805.844  14952.812  15087.250    146.967    134.439    154.552
  2.785757  20332.606  14753.432  14900.162  15034.434    146.730    134.271    154.434
  2.789851  20262.898  14701.866  14848.359  14982.464    146.493    134.105    154.315
  2.793923  20194.015  14651.123  14797.380  14931.319    146.258    133.939    154.195
  2.797975  20125.940  14601.182  14747.205  14880.979    146.023    133.774    154.076
  2.802007  20058.658  14552.022  14697.811  14831.422    145.789    133.610    153.956
  2.806018  19992.154  14503.624  14649.181  14782.628    145.557    133.447    153.835
  2.810010  19926.413  14455.969  14601.294  14734.578    145.325    133.284    153.715
  2.813982  19861.420  14409.038  14554.132  14687.255    145.094    133.123    153.594
  2.817936  19797.163  14362.814  14507.678  14640.640    144.864    132.962    153.472
  2.821870  19733.627  14317.279  14461.915  14594.716    144.635    132.802    153.351
  2.825785  19670.799  14272.418  14416.825  14549.467    144.407    132.642    153.229
  2.829682  19608.666  14228.213  14372.393  14504.876    144.180    132.484    153.107
  2.833560  19547.215  14184.649  14328.603  14460.929    143.954    132.326    152.984
  2.837420  19486.435  14141.712  14285.440  14417.609    143.728    132.169    152.861
  2.841263  19426.313  14099.387  14242.891  14374.903    143.504    132.012    152.738
  2.845088  19366.838  14057.660  14200.941  14332.798    143.281    131.857    152.615
  2.848895  19307.999  14016.518  14159.576  14291.278    143.058    131.702    152.491
  2.852685  19249.783  13975.947  14118.784  14250.332    142.836    131.548    152.367
  2.856458  19192.181  13935.936  14078.551  14209.946    142.616    131.394    152.242
  2.860214  19135.182  13896.471  14038.867  14170.108    142.396    131.242    152.118
  2.863954  19078.776  13857.540  13999.717  14130.807    142.177    131.090    151.993
  2.867677  19022.952  13819.134  13961.092  14092.031    141.959    130.938    151.868
  2.871384  18967.702  13781.239  13922.981  14053.769    141.742    130.788    151.742
  2.875075  18913.014  13743.846  13885.371  14016.009    141.525    130.638    151.617
  2.878750  18858.880  13706.944  13848.254  13978.743    141.310    130.489    151.491
  2.882409  18805.291  13670.522  13811.618  13941.958    141.095    130.341    151.365
  2.886052  18752.238  13634.572  13775.454  13905.647    140.882    130.193    151.238
  2.889681  18699.712  13599.083  13739.752  13869.798    140.669    130.046    151.111
  2.893294  18647.704  13564.047  13704.504  13834.403    140.457    129.899    150.984
  2.896892  18596.207  13529.454  13669.699  13799.453    140.246    129.754    150.857
  2.900475  18545.211  13495.295  13635.330  13764.939    140.035    129.609    150.730
  2.904043  18494.710  13461.563  13601.388  13730.853    139.826    129.464    150.602
  2.907597  18444.696  13428.248  13567.865  13697.186    139.617    129.321    150.474
  2.911137  18395.160  13395.343  13534.752  13663.930    139.409    129.178    150.346
  2.914662  18346.096  13362.841  13502.043  13631.078    139.202    129.035    150.218
  2.918174  18297.495  13330.733  13469.729  13598.622    138.996    128.894    150.090
  2.921671  18249.352  13299.012  13437.803  13566.555    138.791    128.753    149.961
  2.925155  18201.659  13267.671  13406.257  13534.870    138.586    128.612    149.832
  2.928625  18154.408  13236.704  13375.086  13503.559    138.383    128.472    149.703
  2.932081  18107.595  13206.103  13344.282  13472.616    138.180    128.333    149.574
  2.935524  18061.211  13175.861  13313.839  13442.034    137.977    128.195    149.444
  2.938954  18015.252  13145.974  13283.750  13411.807    137.776    128.057    149.315
  2.942371  17969.709  13116.433  13254.009  13381.929    137.576    127.920    149.185
  2.945775  17924.578  13087.234  13224.610  13352.393    137.376    127.783    149.055
  2.949166  17879.852  13058.370  13195.547  13323.194    137.177    127.647    148.925
  2.952544  17835.526  13029.836  13166.814  13294.326    136.979    127.512    148.794
  2.955910  17791.593  13001.625  13138.407  13265.783    136.781    127.377    148.664
  2.959264  17748.049  12973.733  13110.318  13237.561    136.585    127.243    148.533
  2.962605  17704.887  12946.155  13082.543  13209.652    136.389    127.109    148.402
  2.965934  17662.102  12918.884  13055.077  13182.053    136.193    126.976    148.272
  2.969251  17619.689  12891.916  13027.915  13154.759    135.999    126.844    148.140
  2.972556  17577.643  12865.246  13001.052  13127.763    135.805    126.712    148.009
  2.975849  17535.958  12838.870  12974.482  13101.063    135.613    126.580    147.878
  2.979131  17494.630  12812.781  12948.202  13074.652    135.420    126.450    147.747
  2.982401  17453.654  12786.977  12922.206  13048.526    135.229    126.320    147.615
  2.985659  17413.024  12761.452  12896.491  13022.681    135.038    126.190    147.483
  2.988906  17372.737  12736.203  12871.051  12997.112    134.848    126.061    147.352
  2.992142  17332.788  12711.224  12845.883  12971.816    134.659    125.933    147.220
  2.995367  17293.171  12686.512  12820.982  12946.787    134.470    125.805    147.088
  2.998581  17253.883  12662.062  12796.345  12922.022    134.283    125.678    146.956
  3.001783  17214.920  12637.871  12771.966  12897.517    134.095    125.551    146.823
  3.004975  17176.276  12613.935  12747.844  12873.268    133.909    125.425    146.691
  3.008156  17137.949  12590.249  12723.973  12849.272    133.723    125.299    146.559
  3.011327  17099.933  12566.811  12700.350  12825.523    133.538    125.174    146.426
  3.014487  17062.225  12543.617  12676.971  12802.020    133.354    125.049    146.294
  3.017636  17024.821  12520.662  12653.833  12778.758    133.170    124.925    146.161
  3.020776  16987.716  12497.945  12630.932  12755.733    132.987    124.802    146.028
  3.023905  16950.908  12475.460  12608.265  12732.944    132.805    124.679    145.896
  3.027023  16914.392  12453.205  12585.829  12710.385    132.623    124.556    145.763
  3.030132  16878.165  12431.177  12563.620  12688.054    132.443    124.434    145.630
  3.033231  16842.223  12409.373  12541.635  12665.947    132.262    124.313    145.497
  3.036320  16806.562  12387.788  12519.871  12644.063    132.083    124.192    145.364
  3.039399  16771.180  12366.421  12498.325  12622.396    131.904    124.071    145.231
  3.042469  16736.071  12345.269  12476.994  12600.946    131.725    123.951    145.098
  3.045528  16701.235  12324.328  12455.875  12579.707    131.548    123.832    144.965
  3.048579  16666.666  12303.595  12434.966  12558.679    131.371    123.713    144.832
  3.051620  16632.362  12283.068  12414.263  12537.857    131.194    123.595    144.699
  3.054651  16598.319  12262.744  12393.763  12517.240    131.019    123.477    144.565
  3.057673  16564.535  12242.621  12373.464  12496.824    130.844    123.359    144.432
  3.060686  16531.006  12222.695  12353.364  12476.606    130.669    123.242    144.299
  3.063690  16497.729  12202.964  12333.460  12456.585    130.495    123.126    144.166
  3.066685  16464.702  12183.426  12313.748  12436.758    130.322    123.010    144.032
  3.069671  16431.921  12164.078  12294.228  12417.122    130.150    122.894    143.899
  3.072648  16399.384  12144.918  12274.895  12397.675    129.978    122.779    143.766
  3.075616  16367.087  12125.943  12255.749  12378.414    129.806    122.665    143.632
  3.078576  16335.028  12107.151  12236.786  12359.337    129.636    122.550    143.499
  3.081526  16303.205  12088.539  12218.005  12340.441    129.465    122.437    143.366
  3.084469  16271.613  12070.106  12199.402  12321.726    129.296    122.324    143.232
  3.087402  16240.252  12051.849  12180.976  12303.187    129.127    122.211    143.099
  3.090328  16209.118  12033.766  12162.725  12284.824    128.959    122.098    142.966
  3.093244  16178.209  12015.855  12144.646  12266.633    128.791    121.987    142.832
  3.096153  16147.522  11998.114  12126.738  12248.613    128.624    121.875    142.699
